Suriname,3.9193,-560.278,3/16/2020,,1,0
Denmark,6.250.602.841,-1.071.009.659,4/13/2020,3825,6513,285
Venezuela,6.4238,-665.897,3/22/2020,55,70,0
Tanzania,-636.902.483,3.488.881.951,3/31/2020,17,19,1
Papua New Guinea,-6.314.993.286,143.955.548,4/10/2020,2,2,0
Cameroon,3.848,11.5021,3/31/2020,182,193,6
Central African Republic,6.6111,209.394,3/16/2020,,1,0
South Korea,36,128,3/10/2020,,7513,54
Croatia,4.510.980.882,1.524.411.765,3/23/2020,309,315,1
Argentina,-384.161,-636.167,4/23/2020,2351,3435,165
Bulgaria,427.339,254.858,4/13/2020,582,685,32
Uruguay,-325.228,-557.658,4/1/2020,295,338,2
Malaysia,3.908.636,1.038.329.883,3/19/2020,,900,2
Jamaica,181.096,-772.975,3/15/2020,,10,0
New Zealand,-409.006,174.886,4/11/2020,886,1312,4
Nicaragua,1.286.541.504,-8.520.722.726,4/13/2020,4,9,1
Guyana,4.865.311.439,-589.238.607,3/14/2020,,1,1
Korea,South,3.591.094.447,1.277.749.558,3/19/2020,,8565
Romania,4.595.155.294,2.497.168.235,3/21/2020,,367,0
Afghanistan,3.375.957.309,6.719.187.928,3/26/2020,88,94,4
Haiti,189.712,-722.852,4/25/2020,60,72,6
Benin,9.3077,2.3158,3/23/2020,5,5,0
Nigeria,9.082,8.6753,4/8/2020,226,276,6
Nepal,2.820.697.059,8.422.776.471,2/7/2020,,1,0
Cuba,2.153.015.402,-7.782.009.911,3/14/2020,,4,0
Congo (Brazzaville),-3.573.768.333,15.472.855,4/23/2020,164,186,6
Mexico,2.352.252.941,-1.024.552.471,3/15/2020,,41,0
China,3.281.307.921,1.116.545.378,5/6/2020,404,83970,4637
Vietnam,1.440.096.953,1.082.282.817,2/19/2020,,16,0
Saudi Arabia,239.046.623,4.506.617.036,3/6/2020,,5,0
Uganda,1.365.555.229,322.842.276,4/15/2020,43,55,0
United Arab Emirates,2.350.030.547,5.386.795.656,3/28/2020,414,468,2
New Zealand,-409.006,174.886,2/29/2020,,1,0
Mongolia,468.625,1.038.467,3/16/2020,,1,0
France,8.031.540.935,-1.840.149.032,4/29/2020,93304,166543,24121
Japan,3.616.867.541,1.382.082.872,4/13/2020,6463,7370,123
Antigua and Barbuda,170.608,-617.964,4/6/2020,15,15,0
Cyprus,351.264,334.299,5/1/2020,546,857,15
Latvia,568.796,246.032,3/24/2020,196,197,0
Bahrain,2.603.268.824,5.055.101.912,4/28/2020,1493,2811,8
Zambia,-1.317.865.802,2.785.783.929,3/28/2020,28,28,0
Ukraine,483.794,311.656,5/7/2020,10955,13691,340
Morocco,317.917,-70.926,3/23/2020,134,143,4
Greece,390.742,218.243,4/11/2020,1719,2081,93
Liberia,6.428.060.094,-9.429.499.113,5/5/2020,92,170,20
Saint Vincent and the Grenadines,12.9843,-612.872,4/6/2020,6,7,0
Eswatini,-265.225,314.659,4/13/2020,8,15,0
Argentina,-384.161,-636.167,4/5/2020,1127,1451,44
Kazakhstan,480.196,669.237,3/26/2020,108,111,1
